Transactions,Min Transactions Required
"[(5, 2, 964), (4, 1, 1038), (2, 1, 1240), (0, 3, 1152), (6, 3, 232), (0, 4, 1836)]",6
"[(0, 5, 814), (0, 1, 1164), (4, 5, 129), (2, 6, 1465), (1, 3, 1733), (1, 3, 1355)]",6
"[(2, 5, 857), (4, 3, 838), (4, 2, 1401), (0, 6, 562), (0, 2, 266), (5, 1, 1652)]",6
"[(7, 5, 679), (7, 3, 1259), (1, 7, 506), (4, 2, 1452), (0, 6, 845), (3, 2, 1035)]",6
"[(3, 6, 1248), (3, 1, 1826), (5, 3, 1224), (4, 0, 908), (4, 0, 925), (3, 2, 1072)]",6
"[(6, 1, 1306), (1, 0, 1850), (1, 5, 687), (1, 2, 1075), (3, 1, 988), (1, 4, 883)]",6
"[(0, 1, 468), (1, 0, 1994), (2, 3, 1742), (3, 4, 789), (4, 5, 1358), (5, 6, 302), (6, 7, 1896), (7, 0, 868)]",7
"[(7, 2, 1295), (3, 5, 809), (2, 1, 371), (6, 0, 1566), (2, 4, 1422), (6, 3, 1184), (5, 7, 780)]",7
"[(2, 6, 1111), (0, 1, 1666), (0, 2, 1573), (4, 6, 754), (2, 5, 310), (0, 3, 118), (6, 7, 925)]",7
"[(0, 3, 1703), (6, 1, 230), (5, 6, 1876), (2, 7, 1181), (2, 0, 1296), (0, 6, 1339), (0, 4, 1379)]",7
"[(4, 0, 105), (6, 5, 1867), (4, 1, 1376), (0, 6, 1780), (7, 3, 1888), (2, 0, 1826), (3, 6, 567)]",7
"[(1, 7, 599), (6, 0, 1852), (5, 2, 1857), (5, 4, 1575), (6, 3, 338), (6, 1, 1240), (3, 1, 1455)]",7
"[(1, 2, 590), (3, 4, 1695), (6, 5, 1989), (4, 2, 904), (6, 2, 1663), (7, 2, 1637), (2, 0, 746)]",7
"[(6, 5, 520), (5, 4, 1119), (6, 0, 211), (7, 2, 1973), (3, 7, 439), (1, 6, 324), (6, 2, 1611)]",7
"[(6, 4, 1602), (6, 1, 1812), (0, 1, 234), (3, 6, 1601), (1, 2, 1649), (4, 1, 154), (7, 5, 1566)]",7
"[(3, 6, 1242), (5, 3, 1108), (1, 6, 772), (7, 2, 1265), (0, 4, 706), (2, 4, 1407), (0, 6, 119)]",7
"[(0, 6, 1286), (0, 6, 1030), (3, 2, 757), (5, 4, 1461), (1, 3, 590), (1, 7, 235), (5, 3, 1352)]",7
"[(0, 1, 567), (1, 0, 1601), (2, 3, 439), (3, 4, 1392), (4, 5, 1501), (5, 6, 1265), (6, 7, 1992), (7, 8, 1234), (8, 0, 1212)]",8
"[(0, 5, 682), (0, 4, 106), (7, 4, 1265), (6, 1, 982), (2, 8, 889), (2, 3, 1188), (8, 5, 1488), (2, 1, 440)]",8
"[(3, 4, 984), (2, 7, 539), (6, 1, 1715), (0, 6, 816), (8, 5, 1971), (3, 0, 593), (7, 6, 1678), (8, 6, 167)]",8
"[(6, 2, 1122), (1, 4, 1442), (7, 6, 893), (4, 5, 1087), (5, 8, 973), (3, 0, 1967), (8, 2, 892), (5, 0, 471)]",8
"[(4, 0, 1351), (6, 3, 1963), (3, 2, 161), (4, 7, 399), (1, 8, 556), (5, 2, 1072), (2, 8, 1825), (7, 3, 575)]",8
"[(2, 3, 1819), (1, 4, 1709), (3, 2, 1731), (7, 5, 1256), (3, 0, 345), (5, 1, 461), (5, 8, 666), (6, 3, 1299)]",8
"[(1, 4, 331), (6, 1, 1203), (5, 2, 608), (2, 7, 889), (4, 6, 1024), (6, 8, 807), (2, 0, 1102), (7, 3, 1082)]",8
"[(3, 2, 252), (8, 2, 1443), (4, 6, 954), (0, 8, 817), (5, 7, 391), (6, 1, 597), (0, 4, 1876), (6, 8, 329)]",8
"[(4, 2, 384), (1, 5, 1132), (0, 6, 265), (6, 7, 544), (6, 3, 147), (3, 2, 1836), (8, 3, 1442), (5, 4, 1354)]",8
"[(4, 3, 462), (8, 0, 1582), (2, 3, 1987), (5, 3, 1475), (0, 6, 420), (1, 3, 653), (7, 6, 1047), (8, 0, 1963)]",8
"[(7, 0, 708), (1, 4, 1000), (6, 0, 576), (8, 7, 1982), (5, 7, 1968), (2, 7, 508), (3, 4, 1388), (4, 5, 810)]",8
"[(0, 1, 839), (1, 0, 300), (2, 3, 1081), (3, 4, 354), (4, 5, 944), (5, 6, 904), (6, 7, 1241), (7, 8, 1784), (8, 9, 556), (9, 0, 1603)]",9
"[(0, 1, 1381), (1, 2, 525), (2, 3, 1667), (3, 4, 1170), (4, 5, 338), (5, 6, 1266), (6, 7, 1490), (7, 8, 1667), (8, 9, 1199), (9, 0, 1948)]",9
"[(7, 3, 1533), (0, 5, 324), (9, 6, 1075), (1, 9, 120), (3, 6, 952), (1, 4, 622), (2, 5, 656), (8, 2, 365), (0, 7, 1991)]",9
"[(2, 5, 529), (7, 4, 478), (7, 8, 316), (1, 4, 861), (4, 0, 387), (1, 9, 208), (4, 2, 176), (6, 1, 922), (3, 4, 1129)]",9
"[(3, 9, 1446), (1, 4, 962), (1, 0, 1282), (6, 2, 351), (9, 0, 537), (8, 9, 1711), (9, 4, 847), (7, 6, 768), (9, 5, 1456)]",9
"[(3, 8, 409), (2, 5, 146), (2, 5, 1003), (4, 1, 1291), (5, 7, 725), (4, 0, 671), (8, 6, 105), (7, 2, 408), (0, 9, 1220)]",9
"[(4, 2, 863), (5, 8, 1936), (7, 0, 1957), (4, 6, 1224), (1, 2, 856), (1, 7, 1142), (3, 8, 1505), (9, 6, 1321), (1, 5, 1322)]",9
"[(1, 0, 641), (4, 3, 1313), (9, 6, 622), (4, 6, 1816), (8, 7, 1483), (4, 5, 1563), (4, 2, 1157), (1, 6, 616), (4, 1, 1584)]",9
"[(6, 8, 721), (0, 7, 153), (5, 7, 978), (2, 1, 463), (2, 6, 1908), (1, 7, 1601), (3, 8, 1373), (9, 0, 1634), (8, 4, 201)]",9
"[(8, 4, 233), (9, 4, 340), (7, 1, 1610), (9, 2, 638), (2, 6, 558), (3, 9, 1252), (5, 0, 1508), (2, 7, 610), (5, 6, 115)]",9
"[(8, 7, 1923), (6, 7, 500), (1, 3, 914), (5, 4, 693), (0, 4, 767), (1, 3, 719), (3, 4, 1592), (9, 2, 1575), (6, 9, 785)]",9
"[(8, 0, 1524), (3, 2, 1913), (6, 4, 986), (8, 5, 1669), (0, 3, 401), (4, 7, 799), (3, 8, 1633), (1, 9, 679), (7, 1, 1886)]",9
